Row   4, Col  1 (A4): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  45, Col 11 (K45): val=5492 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  48, Col  1 (A48): val='23.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  48, Col  2 (B48): val='Продажа (6249/1 от 23.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  48, Col  3 (C48): val=666 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  48, Col  4 (D48): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  49, Col  8 (H49): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  49, Col  9 (I49): val='Приход (353/0 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  49, Col 10 (J49): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  49, Col 11 (K49): val=34113 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  52, Col  1 (A52): val='23.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  52, Col  2 (B52): val='Продажа (6249/2 от 23.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  52, Col  3 (C52): val=40756 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  52, Col  4 (D52): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  53, Col  8 (H53): val='23.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  53, Col  9 (I53): val='Приход (354/0 от 23.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  53, Col 10 (J53): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  53, Col 11 (K53): val=8581.2 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  56, Col  1 (A56): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  56, Col  2 (B56): val='Продажа (6263/1 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  56, Col  3 (C56): val=222 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  56, Col  4 (D56): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  58, Col  1 (A58): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  58, Col  2 (B58): val='Продажа (6263/2 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  58, Col  3 (C58): val=59492 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  58, Col  4 (D58): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  1 (A60): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  2 (B60): val='Продажа (6276/1 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  3 (C60): val=1332 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  4 (D60): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  8 (H60): val='23.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col  9 (I60): val='Приход (355/0 от 23.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col 10 (J60): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  60, Col 11 (K60): val=41422 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  64, Col  1 (A64): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  64, Col  2 (B64): val='Продажа (6276/2 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  64, Col  3 (C64): val=166902 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  64, Col  4 (D64): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  68, Col  1 (A68): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  68, Col  2 (B68): val='Продажа (6284/1 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  68, Col  3 (C68): val=888 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  68, Col  4 (D68): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  70, Col  8 (H70): val='Авиабилет (электронный) по маршруту МОСКВА - КАЗАНЬ, перевозчик:SU, 24 Июл 2026г., (CHERNOV/ALEKSANDR V MR: № 555-2397261625)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  70, Col 10 (J70): val=30 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  70, Col 11 (K70): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  71, Col  1 (A71): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  71, Col  2 (B71): val='Продажа (6284/2 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  71, Col  3 (C71): val=30488 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  71, Col  4 (D71): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  77, Col  1 (A77): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  77, Col  2 (B77): val='Продажа (11584/1 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  77, Col  3 (C77): val=10 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  77, Col  4 (D77): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  78, Col  1 (A78): val='Размещение в гостинице' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  78, Col  3 (C78): val=10 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  78, Col  4 (D78): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  79, Col  1 (A79): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  79, Col  2 (B79): val='Продажа (11585/2 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  79, Col  3 (C79): val=232000 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  79, Col  4 (D79): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col  1 (A80): val='размещение 11111111111' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col  3 (C80): val=232000 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col  4 (D80): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col  8 (H80): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col  9 (I80): val='Приход (356/0 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col 10 (J80): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  80, Col 11 (K80): val=59714 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  84, Col  8 (H84): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  84, Col  9 (I84): val='Приход (357/0 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  84, Col 10 (J84): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  84, Col 11 (K84): val=168234 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  94, Col  8 (H94): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  94, Col  9 (I94): val='Приход (358/0 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  94, Col 10 (J94): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  94, Col 11 (K94): val=31376 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 104, Col  8 (H104): val='24.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 104, Col  9 (I104): val='Приход (359/2 от 24.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 104, Col 10 (J104): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 104, Col 11 (K104): val=500025 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 105, Col  8 (H105): val='Размещение в гостинице' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 105, Col 10 (J105): val=25 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 105, Col 11 (K105): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 106, Col  8 (H106): val='размещение 11111111111' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 106, Col 10 (J106): val=500000 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row 106, Col 11 (K106): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
